id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento,fecha_ultima_compra,frecuencia_tickets,frecuencia_lineas,valor_total,dias_desde_ultima_compra,churn
1,Eufemia Cantón Sabater,33,Femenino,Lima,San Miguel,2022-02-24,Web,Inactivo,2025-07-21,7,18,32202.22,163,1
2,Renato Josep Castells Ribes,37,Femenino,Arequipa,Cercado,2022-06-29,Web,Inactivo,2024-10-07,2,7,1434.12,450,1
3,Amancio Blázquez Chaparro,22,Masculino,Piura,Veintiséis de Octubre,2022-10-25,App,Inactivo,2024-08-08,4,10,12199.65,510,1
4,Nando Echevarría Porcel,37,Masculino,Lima,San Isidro,2023-02-19,Tienda,Alto Valor,2025-12-29,16,44,53476.8,2,0
5,Cayetana Salas Sevilla,53,Masculino,Cusco,Santiago,2023-04-13,Tienda,Regular,2025-12-20,5,8,9577.42,11,0
6,Hugo Salom,41,Femenino,Arequipa,Paucarpata,2022-07-14,Tienda,Alto Valor,2025-12-25,12,31,55779.56,6,0
7,Genoveva Roldán Teruel,23,Otro,Arequipa,Cercado,2022-02-15,Tienda,Regular,2025-12-01,8,20,21124.81,30,0
8,Gonzalo Tomás Figueras,38,Masculino,Lima,San Isidro,2023-01-15,App,Regular,2025-12-03,6,18,17114.52,28,0
9,Iker Lladó Cabezas,26,Femenino,Trujillo,Víctor Larco,2024-05-08,Tienda,Inactivo,,0,0,0.0,999,1
10,Loida Lorenzo-Anguita,30,Femenino,Trujillo,Víctor Larco,2022-04-03,Tienda,Inactivo,2025-08-11,3,7,8409.6,142,1
11,Sol María Galvez Sotelo,45,Femenino,Piura,Castilla,2022-09-18,Tienda,Regular,2025-12-17,8,26,28278.27,14,0
12,Nuria Solé-Mancebo,40,Masculino,Lima,La Molina,2023-01-17,Tienda,Inactivo,2024-12-21,2,4,7417.0,375,1
13,Florina Verónica Cuevas Cerdán,29,Masculino,Cusco,Wanchaq,2023-01-18,Tienda,Regular,2025-12-30,6,19,43189.3,1,0
14,Gastón Quirino Alarcón Arrieta,38,Masculino,Arequipa,José Luis Bustamante,2022-08-27,Tienda,Regular,2025-12-16,6,16,20000.15,15,0
15,Jacinto Carbonell-Mercader,54,Masculino,Lima,La Molina,2022-07-23,Tienda,Alto Valor,2025-12-31,12,37,55931.6,0,0
16,Ale del Cueto,24,Femenino,Lima,Comas,2022-08-31,Web,Inactivo,2024-04-25,2,4,2492.95,615,1
17,Rosa Ojeda Palmer,51,Masculino,Arequipa,Socabaya,2022-06-06,Tienda,Alto Valor,2025-12-13,17,46,46039.46,18,0
18,Evaristo Garzón Valbuena,42,Femenino,Arequipa,Yanahuara,2022-01-30,App,Inactivo,2024-04-27,1,2,1396.14,613,1
19,Eustaquio Alcaraz-Company,21,Masculino,Lima,Ate,2023-03-08,Tienda,Inactivo,2025-08-06,14,39,38516.8,147,1
20,Carina Cabo Roda,36,Masculino,Piura,Tambogrande,2022-03-18,Tienda,Inactivo,2025-06-10,5,12,8357.55,204,1
21,Jorge Rubio Hierro,44,Masculino,Lima,Surco,2022-07-07,App,Inactivo,2025-07-12,6,10,11194.29,172,1
22,Yésica del Miralles,18,Otro,Arequipa,José Luis Bustamante,2023-07-29,App,Alto Valor,2025-12-13,20,54,88775.09,18,0
23,Félix Cano,34,Femenino,Arequipa,José Luis Bustamante,2022-06-22,App,Inactivo,2024-12-24,9,20,16169.65,372,1
24,Valentina Amalia Mancebo Sotelo,19,Femenino,Trujillo,Moche,2022-07-21,,Inactivo,2025-08-02,3,7,5921.0,151,1
25,Juan Luis Sancho Rebollo,46,Masculino,Lima,Miraflores,2022-09-01,App,Inactivo,2025-04-17,4,15,5111.2,258,1
26,Primitivo Gutierrez Terrón,31,Masculino,Piura,Tambogrande,2023-03-14,Tienda,Alto Valor,2025-12-30,14,38,35094.57,1,0
27,Amada Iriarte Torrents,66,Masculino,Cusco,Wanchaq,2022-04-23,Tienda,Inactivo,2025-04-07,6,14,13782.32,268,1
28,Ascensión Puerta-Diéguez,43,Femenino,Piura,Piura,2022-11-03,Web,Alto Valor,2025-12-12,18,50,68723.79,19,0
